".id","GO.ID","GO.TERM","description","source"
"g5325","GO:0005092","F","GDP-dissociation inhibitor activity","IDA:UniProtKB"
"g5325","GO:0005096","F","GTPase activator activity","IDA:UniProtKB"
"g5325","GO:0005057","F","receptor signaling protein activity","IEA:InterPro"
"g5325","GO:0055059","P","asymmetric neuroblast division","IMP:FlyBase"
"g5325","GO:0008105","P","asymmetric protein localization","IMP:FlyBase"
"g5325","GO:0032291","P","axon ensheathment in central nervous system","IMP:UniProtKB"
"g5325","GO:0007049","P","cell cycle","IEA:UniProtKB-KW"
"g5325","GO:0030866","P","cortical actin cytoskeleton organization","IMP:UniProtKB"
"g5325","GO:0007303","P","cytoplasmic transport, nurse cell to oocyte","IMP:FlyBase"
"g5325","GO:0050832","P","defense response to fungus","IMP:FlyBase"
"g5325","GO:0008069","P","dorsal/ventral axis specification, ovarian follicular epithelium","IMP:FlyBase"
"g5325","GO:0000578","P","embryonic axis specification","IMP:UniProtKB"
"g5325","GO:0014045","P","establishment of endothelial blood-brain barrier","IMP:UniProtKB"
"g5325","GO:0060857","P","establishment of glial blood-brain barrier","IMP:FlyBase"
"g5325","GO:0007186","P","G-protein coupled receptor signaling pathway","IMP:UniProtKB"
"g5325","GO:0010001","P","glial cell differentiation","IMP:FlyBase"
"g5325","GO:0003015","P","heart process","IMP:FlyBase"
"g5325","GO:0007310","P","oocyte dorsal/ventral axis specification","IMP:UniProtKB"
"g5325","GO:0043547","P","positive regulation of GTPase activity","IDA:GOC"
"g5325","GO:0009786","P","regulation of asymmetric cell division","IDA:UniProtKB"
"g5325","GO:0050790","P","regulation of catalytic activity","IDA:GOC"
"g5325","GO:0008277","P","regulation of G-protein coupled receptor protein signaling pathway","IGI:FlyBase"
"g5325","GO:0009408","P","response to heat","IMP:UniProtKB"
"g5325","GO:0006979","P","response to oxidative stress","IMP:UniProtKB"
"g5325","GO:0042594","P","response to starvation","IMP:UniProtKB"
"g5325","GO:0019991","P","septate junction assembly","IMP:FlyBase"
"g5325","GO:0038032","P","termination of G-protein coupled receptor signaling pathway","IEA:InterPro"
"g5325","GO:0007419","P","ventral cord development","IMP:FlyBase"
"g18190","GO:0005737","C","cytoplasm","IEA:UniProtKB-KW"
"g18190","GO:0005634","C","nucleus","IEA:UniProtKB-KW"
"g18190","GO:0000502","C","proteasome complex","ISS:UniProtKB"
"g18190","GO:0005838","C","proteasome regulatory particle","IDA:FlyBase"
"g18190","GO:0061133","F","endopeptidase activator activity","ISS:UniProtKB"
"g18190","GO:0046331","P","lateral inhibition","IMP:FlyBase"
"g18190","GO:0010950","P","positive regulation of endopeptidase activity","ISS:GOC"
"g18190","GO:0043248","P","proteasome assembly","ISS:UniProtKB"
"g18190","GO:0043161","P","proteasome-mediated ubiquitin-dependent protein catabolic process","IC:FlyBase"
"g2944","GO:0005840","C","ribosome","IDA:FlyBase"
"g2944","GO:0003735","F","structural constituent of ribosome","IDA:FlyBase"
"g2944","GO:0051298","P","centrosome duplication","IMP:FlyBase"
"g2944","GO:0051297","P","centrosome organization","IMP:FlyBase"
"g2944","GO:0000022","P","mitotic spindle elongation","IMP:FlyBase"
"g2944","GO:0007052","P","mitotic spindle organization","IMP:FlyBase"
"g2944","GO:0043524","P","negative regulation of neuron apoptotic process","IMP:FlyBase"
"g2944","GO:0006412","P","translation","IEA:InterPro"
"g3048","GO:0005777","C","peroxisome","IEA:UniProtKB-KW"
"g3048","GO:0005524","F","ATP binding","IEA:UniProtKB-KW"
"g3048","GO:0046872","F","metal ion binding","IEA:UniProtKB-KW"
"g3048","GO:0047077","F","Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity","IEA:UniProtKB-EC"
"g3048","GO:0008218","P","bioluminescence","IEA:UniProtKB-KW"
"g18083","GO:0005840","C","ribosome","IEA:UniProtKB-KW"
"g18083","GO:0046872","F","metal ion binding","IEA:UniProtKB-KW"
"g18083","GO:0003735","F","structural constituent of ribosome","IEA:InterPro"
"g18083","GO:0006412","P","translation","IEA:InterPro"
"g20597","GO:0071013","C","catalytic step 2 spliceosome","IDA:FlyBase"
"g20597","GO:0000398","P","mRNA splicing, via spliceosome","IC:FlyBase"
"g20597","GO:0022008","P","neurogenesis","IMP:FlyBase"
"g2194","GO:0005737","C","cytoplasm","IEA:UniProtKB-KW"
"g2194","GO:0005524","F","ATP binding","IEA:UniProtKB-KW"
"g2194","GO:0004828","F","serine-tRNA ligase activity","IEA:UniProtKB-EC"
"g2194","GO:0097056","P","selenocysteinyl-tRNA(Sec) biosynthetic process","IEA:UniProtKB-UniPathway"
"g2194","GO:0006434","P","seryl-tRNA aminoacylation","IEA:InterPro"
"g5336","GO:0005737","C","cytoplasm","IDA:UniProtKB"
"g5336","GO:0048675","P","axon extension","IMP:FlyBase"
"g5336","GO:0035147","P","branch fusion, open tracheal system","TAS:FlyBase"
"g5336","GO:0007476","P","imaginal disc-derived wing morphogenesis","IMP:FlyBase"
"g5336","GO:0002165","P","instar larval or pupal development","IMP:UniProtKB"
"g5336","GO:0035155","P","negative regulation of terminal cell fate specification, open tracheal system","TAS:FlyBase"
"g5336","GO:0022008","P","neurogenesis","IMP:FlyBase"
"g5336","GO:0016246","P","RNA interference","IMP:FlyBase"
"g5336","GO:0007430","P","terminal branching, open tracheal system","IMP:UniProtKB"
"g6371","GO:0004146","F","dihydrofolate reductase activity","IEA:UniProtKB-EC"
"g6371","GO:0050661","F","NADP binding","IEA:InterPro"
"g6371","GO:0006545","P","glycine biosynthetic process","IEA:InterPro"
"g6371","GO:0009165","P","nucleotide biosynthetic process","IEA:InterPro"
"g6371","GO:0006730","P","one-carbon metabolic process","IEA:UniProtKB-KW"
"g6371","GO:0046654","P","tetrahydrofolate biosynthetic process","IEA:UniProtKB-UniPathway"
"g16197","GO:0046872","F","metal ion binding","IEA:UniProtKB-KW"
"g16197","GO:0003723","F","RNA binding","IEA:InterPro"
"g16197","GO:0004523","F","RNA-DNA hybrid ribonuclease activity","IEA:UniProtKB-EC"
"g14729","GO:0005634","C","nucleus","IDA:UniProtKB"
"g14729","GO:0003677","F","DNA binding","IMP:UniProtKB"
"g14729","GO:0046983","F","protein dimerization activity","ISS:FlyBase"
"g14729","GO:0043565","F","sequence-specific DNA binding","IDA:FlyBase"
"g14729","GO:0003700","F","sequence-specific DNA binding transcription factor activity","IEA:InterPro"
"g14729","GO:0007623","P","circadian rhythm","TAS:FlyBase"
"g14729","GO:0007611","P","learning or memory","NAS:FlyBase"
"g14729","GO:0045475","P","locomotor rhythm","NAS:FlyBase"
"g14729","GO:0007616","P","long-term memory","IDA:FlyBase"
"g14729","GO:0072375","P","medium-term memory","IMP:FlyBase"
"g14729","GO:0007528","P","neuromuscular junction development","IMP:FlyBase"
"g14729","GO:2000253","P","positive regulation of feeding behavior","IGI:FlyBase"
"g14729","GO:0045944","P","positive regulation of transcription from RNA polymerase II promoter","IMP:FlyBase"
"g14729","GO:0045187","P","regulation of circadian sleep/wake cycle, sleep","TAS:FlyBase"
"g14729","GO:0006355","P","regulation of transcription, DNA-templated","IMP:UniProtKB"
"g14729","GO:0007622","P","rhythmic behavior","TAS:FlyBase"
"g14729","GO:0030431","P","sleep","IMP:FlyBase"
"g14729","GO:0040040","P","thermosensory behavior","IMP:FlyBase"
"g14729","GO:0006351","P","transcription, DNA-templated","IEA:UniProtKB-KW"
"g3411","GO:0071013","C","catalytic step 2 spliceosome","IDA:FlyBase"
"g3411","GO:0071011","C","precatalytic spliceosome","IDA:FlyBase"
"g3411","GO:0000974","C","Prp19 complex","IDA:FlyBase"
"g3411","GO:0003729","F","mRNA binding","ISS:FlyBase"
"g3411","GO:0000166","F","nucleotide binding","IEA:InterPro"
"g3411","GO:0003755","F","peptidyl-prolyl cis-trans isomerase activity","IEA:UniProtKB-KW"
"g3411","GO:0000398","P","mRNA splicing, via spliceosome","IC:FlyBase"
"g3411","GO:0006909","P","phagocytosis","IMP:FlyBase"
"g3411","GO:0006457","P","protein folding","IEA:UniProtKB-KW"
"g3536","GO:0030061","C","mitochondrial crista","IDA:FlyBase"
"g3536","GO:0005758","C","mitochondrial intermembrane space","IBA:RefGenome"
"g3536","GO:0005739","C","mitochondrion","IDA:UniProtKB"
"g3536","GO:1990050","F","phosphatidic acid transporter activity","IBA:RefGenome"
"g3536","GO:0048813","P","dendrite morphogenesis","IMP:FlyBase"
"g3536","GO:0070584","P","mitochondrion morphogenesis","IMP:FlyBase"
"g3536","GO:0043066","P","negative regulation of apoptotic process","IBA:RefGenome"
"g3536","GO:0015914","P","phospholipid transport","IBA:RefGenome"
"g16698","GO:0005762","C","mitochondrial large ribosomal subunit","ISS:FlyBase"
"g16698","GO:0003735","F","structural constituent of ribosome","ISS:FlyBase"
"g16698","GO:0031047","P","gene silencing by RNA","IEA:UniProtKB-KW"
"g16698","GO:0006417","P","regulation of translation","IEA:UniProtKB-KW"
"g16698","GO:0006412","P","translation","ISS:FlyBase"
"g15655","GO:0005634","C","nucleus","ISS:dictyBase"
"g15655","GO:0043565","F","sequence-specific DNA binding","IEA:InterPro"
"g15655","GO:0003713","F","transcription coactivator activity","ISS:dictyBase"
"g15655","GO:0045944","P","positive regulation of transcription from RNA polymerase II promoter","ISS:dictyBase"
"g14638","GO:0031672","C","A band","IDA:FlyBase"
"g14638","GO:0016459","C","myosin complex","ISS:FlyBase"
"g14638","GO:0032982","C","myosin filament","IEA:UniProtKB-KW"
"g14638","GO:0005703","C","polytene chromosome puff","IDA:FlyBase"
"g14638","GO:0030017","C","sarcomere","IDA:FlyBase"
"g14638","GO:0030898","F","actin-dependent ATPase activity","IDA:FlyBase"
"g14638","GO:0005524","F","ATP binding","IEA:UniProtKB-KW"
"g14638","GO:0042623","F","ATPase activity, coupled","ISS:FlyBase"
"g14638","GO:0003774","F","motor activity","IEA:InterPro"
"g14638","GO:0042803","F","protein homodimerization activity","IDA:FlyBase"
"g14638","GO:0008307","F","structural constituent of muscle","IMP:FlyBase"
"g14638","GO:0007527","P","adult somatic muscle development","IMP:FlyBase"
"g14638","GO:0006200","P","ATP catabolic process","IDA:GOC"
"g14638","GO:0007298","P","border follicle cell migration","IMP:FlyBase"
"g14638","GO:0007427","P","epithelial cell migration, open tracheal system","IMP:FlyBase"
"g14638","GO:0060361","P","flight","IMP:FlyBase"
"g14638","GO:0040011","P","locomotion","IMP:FlyBase"
"g14638","GO:0042692","P","muscle cell differentiation","IMP:FlyBase"
"g14638","GO:0006936","P","muscle contraction","IMP:FlyBase"
"g14638","GO:0007517","P","muscle organ development","IMP:FlyBase"
"g14638","GO:0030239","P","myofibril assembly","IMP:FlyBase"
"g14638","GO:0031033","P","myosin filament organization","IMP:FlyBase"
"g14638","GO:0050821","P","protein stabilization","IMP:FlyBase"
"g14638","GO:0045214","P","sarcomere organization","IMP:FlyBase"
"g14638","GO:0030241","P","skeletal muscle myosin thick filament assembly","IMP:FlyBase"
"g4161","GO:0070111","C","organellar chromatophore","IEA:UniProtKB-KW"
"g4161","GO:0009536","C","plastid","IEA:UniProtKB-KW"
"g4161","GO:0005525","F","GTP binding","IEA:UniProtKB-KW"
"g4161","GO:0003924","F","GTPase activity","IEA:InterPro"
"g4161","GO:0000287","F","magnesium ion binding","IEA:InterPro"
"g20995","GO:0005681","C","spliceosomal complex","IEA:UniProtKB-KW"
"g20995","GO:0003676","F","nucleic acid binding","IEA:InterPro"
"g20995","GO:0008270","F","zinc ion binding","IEA:InterPro"
"g20995","GO:0006397","P","mRNA processing","IEA:UniProtKB-KW"
"g20995","GO:0008380","P","RNA splicing","IEA:UniProtKB-KW"
"g12441","GO:0005777","C","peroxisome","IEA:UniProtKB-KW"
"g12441","GO:0003884","F","D-amino-acid oxidase activity","IEA:UniProtKB-EC"
"g4085","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g12491","GO:0005875","C","microtubule associated complex","IDA:FlyBase"
"g12491","GO:0005743","C","mitochondrial inner membrane","IEA:UniProtKB-KW"
"g12491","GO:0051537","F","2 iron, 2 sulfur cluster binding","IEA:UniProtKB-KW"
"g12491","GO:0004325","F","ferrochelatase activity","IDA:FlyBase"
"g12491","GO:0046872","F","metal ion binding","IEA:UniProtKB-KW"
"g12491","GO:0006783","P","heme biosynthetic process","IEA:UniProtKB-KW"
"g5345","GO:0005840","C","ribosome","IEA:UniProtKB-KW"
"g15274","GO:0005737","C","cytoplasm","ISS:dictyBase"
"g15274","GO:0004596","F","peptide alpha-N-acetyltransferase activity","ISS:dictyBase"
"g15274","GO:0017196","P","N-terminal peptidyl-methionine acetylation","ISS:dictyBase"
"g13630","GO:0005576","C","extracellular region","IEA:UniProtKB-KW"
"g13630","GO:0016020","C","membrane","IEA:InterPro"
"g13630","GO:0004177","F","aminopeptidase activity","IEA:UniProtKB-KW"
"g13630","GO:0008236","F","serine-type peptidase activity","IEA:InterPro"
"g18694","GO:0005783","C","endoplasmic reticulum","IEA:UniProtKB-KW"
"g18694","GO:0016020","C","membrane","IEA:UniProtKB-KW"
"g18694","GO:0070330","F","aromatase activity","IEA:UniProtKB-EC"
"g18694","GO:0020037","F","heme binding","IEA:InterPro"
"g18694","GO:0005506","F","iron ion binding","IEA:InterPro"
"g12244","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g12244","GO:0005886","C","plasma membrane","IDA:UniProtKB"
"g12244","GO:0015574","F","trehalose transmembrane transporter activity","IDA:UniProtKB"
"g12244","GO:0006950","P","response to stress","IEA:UniProtKB-KW"
"g12244","GO:0015771","P","trehalose transport","IDA:UniProtKB"
"g10956","GO:0042302","F","structural constituent of cuticle","IEA:UniProtKB-KW"
"g5646","GO:0005615","C","extracellular space","IEA:UniProtKB-KW"
"g5646","GO:0004167","F","dopachrome isomerase activity","IEA:UniProtKB-EC"
"g5646","GO:0050178","F","phenylpyruvate tautomerase activity","IEA:UniProtKB-EC"
"g5392","GO:0005783","C","endoplasmic reticulum","IEA:UniProtKB-KW"
"g5392","GO:0016020","C","membrane","IEA:UniProtKB-KW"
"g5392","GO:0070330","F","aromatase activity","IEA:UniProtKB-EC"
"g5392","GO:0020037","F","heme binding","IEA:InterPro"
"g5392","GO:0005506","F","iron ion binding","IEA:InterPro"
"g16837","GO:0005737","C","cytoplasm","IEA:InterPro"
"g16837","GO:0005524","F","ATP binding","IEA:UniProtKB-KW"
"g16837","GO:0004335","F","galactokinase activity","ISS:dictyBase"
"g16837","GO:0019388","P","galactose catabolic process","ISS:dictyBase"
"g13891","GO:0016021","C","integral component of membrane","NAS:UniProtKB"
"g13891","GO:0005875","C","microtubule associated complex","IDA:FlyBase"
"g13891","GO:0016529","C","sarcoplasmic reticulum","IEA:UniProtKB-KW"
"g13891","GO:0005509","F","calcium ion binding","IEA:InterPro"
"g13891","GO:0005219","F","ryanodine-sensitive calcium-release channel activity","TAS:UniProtKB"
"g13891","GO:0006816","P","calcium ion transport","TAS:UniProtKB"
"g13891","GO:0006874","P","cellular calcium ion homeostasis","IEA:InterPro"
"g13891","GO:0060047","P","heart contraction","IMP:FlyBase"
"g13891","GO:0007275","P","multicellular organismal development","IEA:UniProtKB-KW"
"g13891","GO:0006936","P","muscle contraction","IMP:UniProtKB"
"g13891","GO:0035206","P","regulation of hemocyte proliferation","IMP:FlyBase"
"g13891","GO:0072347","P","response to anesthetic","IMP:FlyBase"
"g9148","GO:0034704","C","calcium channel complex","IDA:FlyBase"
"g9148","GO:0016021","C","integral component of membrane","NAS:FlyBase"
"g9148","GO:0005227","F","calcium activated cation channel activity","IDA:FlyBase"
"g9148","GO:0005262","F","calcium channel activity","IDA:FlyBase"
"g9148","GO:0005216","F","ion channel activity","TAS:FlyBase"
"g9148","GO:0048266","P","behavioral response to pain","IMP:FlyBase"
"g9148","GO:0070588","P","calcium ion transmembrane transport","IDA:FlyBase"
"g9148","GO:0006816","P","calcium ion transport","ISS:FlyBase"
"g9148","GO:0007620","P","copulation","IMP:FlyBase"
"g9148","GO:0050974","P","detection of mechanical stimulus involved in sensory perception","TAS:FlyBase"
"g9148","GO:0050966","P","detection of mechanical stimulus involved in sensory perception of pain","IMP:UniProtKB"
"g9148","GO:0050965","P","detection of temperature stimulus involved in sensory perception of pain","IMP:UniProtKB"
"g9148","GO:0050960","P","detection of temperature stimulus involved in thermoception","IDA:FlyBase"
"g9148","GO:0007631","P","feeding behavior","IMP:FlyBase"
"g9148","GO:0008049","P","male courtship behavior","IMP:FlyBase"
"g9148","GO:0007638","P","mechanosensory behavior","IMP:FlyBase"
"g9148","GO:0048060","P","negative gravitaxis","IMP:FlyBase"
"g9148","GO:0042048","P","olfactory behavior","IMP:FlyBase"
"g9148","GO:0045924","P","regulation of female receptivity","IMP:FlyBase"
"g9148","GO:0008016","P","regulation of heart contraction","IMP:FlyBase"
"g9148","GO:0009408","P","response to heat","IMP:FlyBase"
"g9148","GO:0009612","P","response to mechanical stimulus","NAS:FlyBase"
"g9148","GO:0019233","P","sensory perception of pain","IMP:FlyBase"
"g2202","GO:0005730","C","nucleolus","IDA:UniProtKB"
"g2202","GO:0007613","P","memory","IEP:UniProtKB"
"g2202","GO:0045893","P","positive regulation of transcription, DNA-templated","IEP:UniProtKB"
