ids,Swiss-Prot Hit,GO Annotation
g722,Paired box protein Pax-6,"GO:0005634; C:nucleus; TAS:FlyBase; GO:0003705; F:RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity; IDA:FlyBase; GO:0043565; F:sequence-specific DNA binding; IMP:FlyBase; GO:0003700; F:sequence-specific DNA binding transcription factor activity; TAS:FlyBase; GO:0007628; P:adult walking behavior; IMP:FlyBase; GO:0007420; P:brain development; IMP:FlyBase; GO:0048854; P:brain morphogenesis; IMP:FlyBase; GO:0048036; P:central complex development; IMP:FlyBase; GO:0048749; P:compound eye development; IMP:FlyBase; GO:0001745; P:compound eye morphogenesis; IMP:FlyBase; GO:0007455; P:eye-antennal disc morphogenesis; TAS:FlyBase; GO:0008347; P:glial cell migration; IMP:FlyBase; GO:0016319; P:mushroom body development; IMP:FlyBase; GO:0030182; P:neuron differentiation; IMP:FlyBase; GO:0043704; P:photoreceptor cell fate specification; IMP:FlyBase; GO:0040018; P:positive regulation of multicellular organism growth; IMP:FlyBase; GO:0045944; P:positive regulation of transcription from RNA polymerase II promoter; IDA:FlyBase; GO:0045893; P:positive regulation of transcription, DNA-templated; IDA:FlyBase; GO:0043567; P:regulation of insulin-like growth factor receptor signaling pathway; IMP:FlyBase; GO:0006366; P:transcription from RNA polymerase II promoter; IDA:GOC"
g12276,E3 ubiquitin-protein ligase mind-bomb,GO:0045179; C:apical cortex; IDA:UniProtKB; GO:0005737; C:cytoplasm; IDA:UniProtKB; GO:0005829; C:cytosol; TAS:Reactome; GO:0016874; F:ligase activity; IEA:UniProtKB-KW; GO:0004842; F:ubiquitin-protein transferase activity; NAS:UniProtKB; GO:0008270; F:zinc ion binding; ISM:FlyBase; GO:0006897; P:endocytosis; IMP:UniProtKB; GO:0046331; P:lateral inhibition; IMP:FlyBase; GO:0007219; P:Notch signaling pathway; IMP:FlyBase; GO:0045747; P:positive regulation of Notch signaling pathway; IMP:UniProtKB; GO:0008104; P:protein localization; IMP:UniProtKB; GO:0000209; P:protein polyubiquitination; IDA:FlyBase; GO:0016567; P:protein ubiquitination; NAS:UniProtKB; GO:0008593; P:regulation of Notch signaling pathway; IMP:UniProtKB; GO:0007423; P:sensory organ development; IMP:FlyBase
g14360,F-actin-capping protein subunit alpha,GO:0016324; C:apical plasma membrane; IDA:FlyBase; GO:0005869; C:dynactin complex; ISS:FlyBase; GO:0008290; C:F-actin capping protein complex; IEA:InterPro; GO:0005875; C:microtubule associated complex; IDA:FlyBase; GO:0071203; C:WASH complex; IEA:InterPro; GO:0030036; P:actin cytoskeleton organization; IMP:FlyBase; GO:0007015; P:actin filament organization; IMP:FlyBase; GO:0051016; P:barbed-end actin filament capping; ISS:FlyBase; GO:0000902; P:cell morphogenesis; IMP:FlyBase; GO:0007294; P:germarium-derived oocyte fate determination; IMP:FlyBase; GO:0007018; P:microtubule-based movement; ISS:FlyBase; GO:0030837; P:negative regulation of actin filament polymerization; IMP:FlyBase; GO:0051490; P:negative regulation of filopodium assembly; IMP:FlyBase; GO:0006909; P:phagocytosis; IMP:FlyBase; GO:0051489; P:regulation of filopodium assembly; IMP:FlyBase; GO:0010591; P:regulation of lamellipodium assembly; IMP:FlyBase; GO:0035220; P:wing disc development; IMP:FlyBase
g9534,Probable 4-coumarate--CoA ligase 1,GO:0016207; F:4-coumarate-CoA ligase activity; IEA:UniProtKB-EC; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0009698; P:phenylpropanoid metabolic process; IEA:UniProtKB-KW
g215,Uncharacterized protein B0303.3,"GO:0005739; C:mitochondrion; IDA:WormBase; GO:0016747; F:transferase activity, transferring acyl groups other than amino-acyl groups; IEA:InterPro"
g4938,Putative inorganic phosphate cotransporter,GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW; GO:0015114; F:phosphate ion transmembrane transporter activity; IEA:InterPro; GO:0015293; F:symporter activity; IEA:UniProtKB-KW; GO:0006814; P:sodium ion transport; IEA:UniProtKB-KW
g11463,N/A,N/A
g11997,Guanine nucleotide-binding protein G(q) subunit alpha,GO:0005525; F:GTP binding; IEA:UniProtKB-KW; GO:0003924; F:GTPase activity; IEA:InterPro; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0004871; F:signal transducer activity; IEA:UniProtKB-KW; GO:0007186; P:G-protein coupled receptor signaling pathway; IEA:InterPro
g2132,N/A,N/A
g4213,Putative homeodomain transcription factor,"GO:0005634; C:nucleus; ISM:FlyBase; GO:0003677; F:DNA binding; IEA:UniProtKB-KW; GO:0046983; F:protein dimerization activity; ISM:FlyBase; GO:0003700; F:sequence-specific DNA binding transcription factor activity; ISM:FlyBase; GO:0006357; P:regulation of transcription from RNA polymerase II promoter; ISM:FlyBase; GO:0006351; P:transcription, DNA-templated; IEA:UniProtKB-KW"
g12964,ATP-dependent protease ATPase subunit HslU1,"GO:0009376; C:HslUV protease complex; IEA:InterPro; GO:0020023; C:kinetoplast; IEA:UniProtKB-KW; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0016887; F:ATPase activity; IEA:InterPro; GO:0070011; F:peptidase activity, acting on L-amino acid peptides; IEA:InterPro; GO:0070581; P:rolling circle DNA replication; IDA:GeneDB_Tbrucei"
g13984,Probable ubiquitin conjugation factor E4 {ECO:0000305},GO:0005737; C:cytoplasm; IDA:WormBase; GO:0005634; C:nucleus; IDA:WormBase; GO:0000151; C:ubiquitin ligase complex; IEA:InterPro; GO:0051087; F:chaperone binding; IPI:WormBase; GO:0031625; F:ubiquitin protein ligase binding; IPI:WormBase; GO:0004842; F:ubiquitin-protein transferase activity; IDA:WormBase; GO:0034450; F:ubiquitin-ubiquitin ligase activity; IEA:InterPro; GO:0051865; P:protein autoubiquitination; IDA:WormBase; GO:0000209; P:protein polyubiquitination; IDA:WormBase; GO:0016567; P:protein ubiquitination; IDA:WormBase; GO:0006511; P:ubiquitin-dependent protein catabolic process; IEA:InterPro
g2291,Uncharacterized membrane protein DDB_G0293934,GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW; GO:0003677; F:DNA binding; IEA:UniProtKB-KW; GO:0003700; F:sequence-specific DNA binding transcription factor activity; IEA:InterPro
g18592,ATP-dependent zinc metalloprotease YME1 homolog,GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0004222; F:metalloendopeptidase activity; IEA:InterPro
g15443,N/A,N/A
g14131,Mental retardation GTPase activating protein homolog 3,GO:0005773; C:vacuole; IEA:UniProtKB-KW; GO:0005096; F:GTPase activator activity; IEA:UniProtKB-KW; GO:0007165; P:signal transduction; IEA:InterPro
g13090,Choline O-acetyltransferase,GO:0005829; C:cytosol; NAS:UniProtKB; GO:0005634; C:nucleus; NAS:UniProtKB; GO:0004102; F:choline O-acetyltransferase activity; IDA:UniProtKB; GO:0008292; P:acetylcholine biosynthetic process; NAS:UniProtKB; GO:0007399; P:nervous system development; TAS:UniProtKB; GO:0007274; P:neuromuscular synaptic transmission; IMP:FlyBase; GO:0007268; P:synaptic transmission; TAS:UniProtKB
g17040,Fork head domain transcription factor slp2,"GO:0005634; C:nucleus; IEA:UniProtKB-KW; GO:0043565; F:sequence-specific DNA binding; IEA:InterPro; GO:0003700; F:sequence-specific DNA binding transcription factor activity; IEA:InterPro; GO:0007367; P:segment polarity determination; IEA:UniProtKB-KW; GO:0006351; P:transcription, DNA-templated; IEA:UniProtKB-KW"
g4278,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",GO:0005739; C:mitochondrion; IEA:UniProtKB-KW; GO:0045252; C:oxoglutarate dehydrogenase complex; IEA:InterPro; GO:0004149; F:dihydrolipoyllysine-residue succinyltransferase activity; IEA:UniProtKB-EC; GO:0033512; P:L-lysine catabolic process to acetyl-CoA via saccharopine; IEA:UniProtKB-UniPathway; GO:0006099; P:tricarboxylic acid cycle; IEA:UniProtKB-KW
g12731,Abnormal cell migration protein 10,GO:0032584; C:growth cone membrane; IDA:WormBase; GO:0030027; C:lamellipodium; IDA:WormBase; GO:0032809; C:neuronal cell body membrane; IDA:WormBase; GO:0017124; F:SH3 domain binding; IPI:WormBase; GO:0031103; P:axon regeneration; IMP:WormBase; GO:0048858; P:cell projection morphogenesis; IMP:WormBase; GO:0030032; P:lamellipodium assembly; IMP:WormBase; GO:0040011; P:locomotion; IMP:WormBase; GO:0008078; P:mesodermal cell migration; IMP:WormBase; GO:0001764; P:neuron migration; IMP:WormBase; GO:0018991; P:oviposition; IMP:WormBase; GO:0030334; P:regulation of cell migration; IMP:WormBase; GO:0007165; P:signal transduction; IEA:InterPro; GO:0040025; P:vulval development; IMP:WormBase
g10703,Putative ATPase N2B,GO:0005524; F:ATP binding; IEA:UniProtKB-KW
g18595,Epidermal growth factor receptor substrate 15 homolog,GO:0030122; C:AP-2 adaptor complex; IDA:dictyBase; GO:0030132; C:clathrin coat of coated pit; IC:dictyBase; GO:0005509; F:calcium ion binding; IEA:InterPro; GO:0015031; P:protein transport; IEA:UniProtKB-KW
g13816,Slowpoke-binding protein,GO:0005737; C:cytoplasm; NAS:UniProtKB; GO:0004672; F:protein kinase activity; IDA:FlyBase; GO:0007274; P:neuromuscular synaptic transmission; IMP:FlyBase; GO:0006468; P:protein phosphorylation; IDA:GOC; GO:0042391; P:regulation of membrane potential; IMP:FlyBase; GO:0050804; P:regulation of synaptic transmission; NAS:UniProtKB; GO:0042594; P:response to starvation; IMP:FlyBase
g6376,Calcium/calmodulin-dependent protein kinase type II alpha chain,GO:0030424; C:axon; IDA:FlyBase; GO:0005954; C:calcium- and calmodulin-dependent protein kinase complex; TAS:UniProtKB; GO:0030425; C:dendrite; IDA:FlyBase; GO:0005886; C:plasma membrane; IDA:FlyBase; GO:0045211; C:postsynaptic membrane; IDA:FlyBase; GO:0048786; C:presynaptic active zone; IDA:FlyBase; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0005516; F:calmodulin binding; TAS:FlyBase; GO:0004683; F:calmodulin-dependent protein kinase activity; IDA:FlyBase; GO:0004674; F:protein serine/threonine kinase activity; IDA:FlyBase; GO:0007619; P:courtship behavior; TAS:FlyBase; GO:0007611; P:learning or memory; IMP:FlyBase; GO:0007616; P:long-term memory; IMP:FlyBase; GO:0008049; P:male courtship behavior; IMP:FlyBase; GO:0007528; P:neuromuscular junction development; NAS:FlyBase; GO:0006468; P:protein phosphorylation; NAS:FlyBase; GO:0051489; P:regulation of filopodium assembly; IMP:FlyBase; GO:0060278; P:regulation of ovulation; IGI:FlyBase; GO:0008582; P:regulation of synaptic growth at neuromuscular junction; IMP:FlyBase; GO:0007268; P:synaptic transmission; IMP:FlyBase
g335,GTPase-activating protein CdGAPr,GO:0005622; C:intracellular; IEA:InterPro; GO:0005096; F:GTPase activator activity; IEA:UniProtKB-KW; GO:0031290; P:retinal ganglion cell axon guidance; IMP:UniProtKB; GO:0007165; P:signal transduction; IEA:InterPro
g12818,Protein disabled,GO:0030424; C:axon; IDA:FlyBase; GO:0005737; C:cytoplasm; IDA:FlyBase; GO:0005118; F:sevenless binding; IPI:UniProtKB; GO:0042169; F:SH2 domain binding; IPI:FlyBase; GO:0017124; F:SH3 domain binding; IPI:FlyBase; GO:0007349; P:cellularization; IMP:FlyBase; GO:0072583; P:clathrin-mediated endocytosis; IDA:FlyBase; GO:0042051; P:compound eye photoreceptor development; IMP:FlyBase; GO:0007391; P:dorsal closure; IMP:FlyBase; GO:0008045; P:motor neuron axon guidance; IMP:FlyBase; GO:0022008; P:neurogenesis; IMP:FlyBase; GO:0045500; P:sevenless signaling pathway; IGI:FlyBase; GO:0048488; P:synaptic vesicle endocytosis; IDA:FlyBase
g15953,N/A,N/A
g15789,Choline transporter-like protein 1,GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW
g10354,Trafficking kinesin-binding protein milt {ECO:0000303|PubMed:12495622},GO:0005739; C:mitochondrion; IDA:UniProtKB; GO:0003777; F:microtubule motor activity; IMP:UniProtKB; GO:0017022; F:myosin binding; IPI:FlyBase; GO:0019896; P:axon transport of mitochondrion; IDA:FlyBase; GO:0051654; P:establishment of mitochondrion localization; IMP:UniProtKB; GO:0008152; P:metabolic process; IMP:GOC; GO:0048311; P:mitochondrion distribution; IMP:FlyBase; GO:0007287; P:Nebenkern assembly; IMP:FlyBase; GO:0007310; P:oocyte dorsal/ventral axis specification; IMP:UniProtKB; GO:0030382; P:sperm mitochondrion organization; IMP:FlyBase
g16518,"Isobutyryl-CoA dehydrogenase, mitochondrial",GO:0005739; C:mitochondrion; IEA:UniProtKB-KW; GO:0003995; F:acyl-CoA dehydrogenase activity; IEA:InterPro; GO:0050660; F:flavin adenine dinucleotide binding; IEA:InterPro; GO:0006574; P:valine catabolic process; IEA:UniProtKB-UniPathway
g7341,"Serine/threonine-protein kinase par-1 {ECO:0000250|UniProtKB:Q9TW45, ECO:0000312|EMBL:CAP25402.1}",GO:0005737; C:cytoplasm; IEA:UniProtKB-KW; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0004674; F:protein serine/threonine kinase activity; IEA:UniProtKB-KW; GO:0007275; P:multicellular organismal development; IEA:UniProtKB-KW
g10621,N/A,N/A
g14598,Probable serine/threonine-protein kinase DDB_G0282963,GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0004674; F:protein serine/threonine kinase activity; IEA:UniProtKB-KW
g13602,Protein 5NUC,GO:0008253; F:5'-nucleotidase activity; IEA:UniProtKB-EC; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0000166; F:nucleotide binding; IEA:UniProtKB-KW; GO:0008768; F:UDP-sugar diphosphatase activity; IEA:UniProtKB-EC; GO:0009166; P:nucleotide catabolic process; IEA:InterPro
g17413,Tropomodulin,GO:0005737; C:cytoplasm; IDA:WormBase; GO:0005865; C:striated muscle thin filament; IDA:WormBase; GO:1990357; C:terminal web; IDA:WormBase; GO:0051015; F:actin filament binding; IC:WormBase; GO:0009792; P:embryo development ending in birth or egg hatching; IMP:WormBase; GO:0040011; P:locomotion; IMP:WormBase; GO:0071689; P:muscle thin filament assembly; IMP:WormBase; GO:0030835; P:negative regulation of actin filament depolymerization; IDA:WormBase; GO:0002119; P:nematode larval development; IMP:WormBase; GO:0051694; P:pointed-end actin filament capping; IDA:WormBase; GO:0045214; P:sarcomere organization; IMP:WormBase
g815,Protein DGCR14 homolog,"GO:0071013; C:catalytic step 2 spliceosome; IDA:FlyBase; GO:0005634; C:nucleus; ISS:UniProtKB; GO:0000398; P:mRNA splicing, via spliceosome; IC:FlyBase; GO:0007399; P:nervous system development; ISS:UniProtKB"
g442,N/A,N/A
g3938,RutC family protein C23G10.2,GO:0019239; F:deaminase activity; IEA:InterPro
g13763,Protein furry,"GO:0045177; C:apical part of cell; IDA:FlyBase; GO:0030424; C:axon; IDA:FlyBase; GO:0044297; C:cell body; IDA:FlyBase; GO:0005938; C:cell cortex; IDA:FlyBase; GO:0005737; C:cytoplasm; IDA:FlyBase; GO:0030425; C:dendrite; IDA:FlyBase; GO:0048800; P:antennal morphogenesis; IMP:FlyBase; GO:0008407; P:chaeta morphogenesis; IMP:FlyBase; GO:0070593; P:dendrite self-avoidance; IGI:FlyBase; GO:0035317; P:imaginal disc-derived wing hair organization; IGI:FlyBase; GO:0007476; P:imaginal disc-derived wing morphogenesis; IMP:FlyBase; GO:0035316; P:non-sensory hair organization; IMP:FlyBase; GO:0048601; P:oocyte morphogenesis; IDA:FlyBase; GO:0045860; P:positive regulation of protein kinase activity; IMP:UniProtKB; GO:0045893; P:positive regulation of transcription, DNA-templated; IMP:UniProtKB; GO:0050773; P:regulation of dendrite development; IMP:UniProtKB; GO:0048814; P:regulation of dendrite morphogenesis; IMP:FlyBase; GO:0042052; P:rhabdomere development; IMP:FlyBase; GO:0006351; P:transcription, DNA-templated; IEA:UniProtKB-KW"
g4415,Ectopic P granules protein 5 homolog,GO:0006914; P:autophagy; IEA:UniProtKB-KW; GO:0046331; P:lateral inhibition; IMP:FlyBase
g11523,Paired box pox-meso protein,"GO:0005634; C:nucleus; IDA:FlyBase; GO:0003677; F:DNA binding; IEA:UniProtKB-KW; GO:0048813; P:dendrite morphogenesis; IMP:FlyBase; GO:0007526; P:larval somatic muscle development; IMP:FlyBase; GO:0006355; P:regulation of transcription, DNA-templated; IEA:UniProtKB-KW; GO:0006351; P:transcription, DNA-templated; IEA:UniProtKB-KW"
g3262,Phospholipid-transporting ATPase tat-1,"GO:0016324; C:apical plasma membrane; IDA:WormBase; GO:0016323; C:basolateral plasma membrane; IDA:WormBase; GO:0005737; C:cytoplasm; IDA:WormBase; GO:0005794; C:Golgi apparatus; IDA:WormBase; GO:0005887; C:integral component of plasma membrane; IDA:WormBase; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0019829; F:cation-transporting ATPase activity; IEA:InterPro; GO:0000287; F:magnesium ion binding; IEA:InterPro; GO:0004012; F:phospholipid-translocating ATPase activity; IMP:WormBase; GO:0006897; P:endocytosis; IMP:WormBase; GO:0007040; P:lysosome organization; IMP:WormBase; GO:0060101; P:negative regulation of phagocytosis, engulfment; IMP:WormBase; GO:0045332; P:phospholipid translocation; IMP:WormBase; GO:0015914; P:phospholipid transport; IMP:WormBase; GO:0060100; P:positive regulation of phagocytosis, engulfment; IMP:WormBase"
g4463,Polyadenylation and cleavage factor homolog 11,N/A
